"","Term","P.value","Z.score","Genes"
"18","transcription factor complex (GO:0005667)",0.146553305419619,-1.77022693615657,"SOX2;IVNS1ABP;RBPJL;NR4A1;SMAD4;PITX1"
"19","kinetochore (GO:0000776)",0.141052344613101,-1.68421786626463,"MTBP;ERCC6L;DCTN3"
"20","spliceosomal complex (GO:0005681)",0.141107579604954,-1.68064680628479,"IVNS1ABP;HNRNPA2B1;SNRPB2;HNRNPH3"
"21","adherens junction (GO:0005912)",0.170998191811853,-1.52172129449245,"MRC2;CSRP1;FAP;RPS5;SHROOM2;LMO7;MLLT4;TNS1"
"22","kinesin complex (GO:0005871)",0.15574246801324,-1.29544734046152,"KIF2A;KIF16B"
"23","cytosolic large ribosomal subunit (GO:0022625)",0.151116270801262,-1.2208233820462,"RPL36;RPL29"
"24","anchoring junction (GO:0070161)",0.193779706192258,-1.39111532319154,"MRC2;CSRP1;FAP;RPS5;SHROOM2;LMO7;MLLT4;TNS1"
"25","cytosol (GO:0005829)",0.175604710369481,-1.2767905020194,"ERCC6L;DGKA;WWC2;DCTN3;TESK1;AKAP5;LRRC16A;MLLT4;FTCD;SOX2;LDHB;SRP72;BAG3;RPL36;CASP2;ATG7;SULT4A1;SMAD4;GCKR;CDKN2A;RPS5;IL18;PEX1;DOHH;PUM1;TGFBR2;SOD1;VAV2;PSMA5;DOK1;ITCH;PHOSPHO1;DOK2;MTAP;KIF2A;PSME4;TRIB3;RPL29;GAPDH"
"26","peroxisome (GO:0005777)",0.175989755266537,-1.27746800032452,"PEX1;CROT;SOD1"
"27","lipid particle (GO:0005811)",0.160395461424346,-1.14357512872518,"CYB5R3;GAPDH"
"28","lamellipodium (GO:0030027)",0.182584999840973,-1.18972124020957,"FGD6;FAP;LRRC16A"
"29","nuclear chromatin (GO:0000790)",0.208391529491402,-1.21150583302803,"SMAD4;SETD3;UHRF1;DNMT3B"
"30","intracellular (GO:0005622)",0.262902343409736,-1.16024993564076,"SERPINA3;SMAD4;UBL3;NAA10;ZNF83;ZNF43;REN;ZNF568;ZNF578;ANO4;HPCAL4;ZNF433"
"31","microbody (GO:0042579)",0.223397222079099,-1.01384410879792,"CROT;PEX1;SOD1"
"32","transport vesicle (GO:0030133)",0.198409608924948,-0.861229396039126,"APH1B;YIPF1"
"33","external side of plasma membrane (GO:0009897)",0.247834619039295,-0.994678198735073,"SEMA7A;CD27;PDCD1;TGFBR2"
"34","nuclear matrix (GO:0016363)",0.208082990894028,-0.804162530945054,"UHRF1;ZNF703"
"35","proteasome complex (GO:0000502)",0.203239719592478,-0.784540978629255,"PSMA5;PSME4"
"36","chromosome, centromeric region (GO:0000775)",0.208082990894028,-0.77448901448374,"SUV39H1;DNMT3B"
"37","peroxisomal part (GO:0044439)",0.242257932787974,-0.747091555631441,"CROT;PEX1"
"38","outer membrane (GO:0019867)",0.272944950118588,-0.787961116102767,"CYB5R3;GUCY2D;SLC11A1"
"39","microbody part (GO:0044438)",0.242257932787974,-0.720747680575522,"CROT;PEX1"
"40","ribosomal subunit (GO:0044391)",0.265779807299815,-0.739205726682936,"RPS5;RPL36;RPL29"
"41","large ribosomal subunit (GO:0015934)",0.256991457081705,-0.593893658970355,"RPL36;RPL29"
"42","extracellular matrix (GO:0031012)",0.315066269706477,-0.678090452369918,"COL15A1;WNT10A;TGFB3;COL14A1;PI3;SOD1"
"43","mitochondrion (GO:0005739)",0.323894540702324,-0.617470653434181,"CTSA;GCKR;CERK;SPRYD4;CDKN2A;FASTKD2;HSCB;CROT;TRMT2B;COX6C;SOD1;NLN;LDHB;CYB5R3;MRPL40;DNLZ;CASP2;ROMO1;FADS1"
"44","focal adhesion (GO:0005925)",0.324370386988165,-0.575948649752505,"MRC2;CSRP1;FAP;RPS5;LMO7;TNS1"
"45","cell-substrate adherens junction (GO:0005924)",0.338397192204417,-0.567674757552742,"MRC2;CSRP1;FAP;RPS5;LMO7;TNS1"
"46","cell-substrate junction (GO:0030055)",0.347786736681884,-0.570327941345698,"MRC2;CSRP1;FAP;RPS5;LMO7;TNS1"
"47","nuclear membrane (GO:0031965)",0.316262459384413,-0.450674883017768,"GUCY2D;TRIB3;TMEM38A"
"48","nuclear transcription factor complex (GO:0044798)",0.291384402129914,-0.415810340600213,"SOX2;SMAD4"
"49","catalytic step 2 spliceosome (GO:0071013)",0.286477558186317,-0.386178218404498,"HNRNPA2B1;SNRPB2"
"50","nucleolus (GO:0005730)",0.350055596004605,-0.45469971238644,"CTSA;SMAD4;UTP6;NAA10;CDKN2A;YLPM1;TBCB;RFXANK;ZBTB33;WBP11;ILF2;MLLT4;SOD1;PSMA5;SOX2;SLC7A5;MRPL40;CIRH1A;RPL36;DNMT3B;SNRPB2;TRIB3;HNRNPH3;PITX1"
"51","protein acetyltransferase complex (GO:0031248)",0.315840076381064,-0.37623083137406,"NAA10;MSL3"
"52","acetyltransferase complex (GO:1902493)",0.315840076381064,-0.351803082617364,"NAA10;MSL3"
"53","side of membrane (GO:0098552)",0.378533504341689,-0.265785900492305,"SEMA7A;CD27;PDCD1;TGFBR2"
"54","apical part of cell (GO:0045177)",0.320710559070403,-0.223774017567877,"FAP;MLLT4"
"55","cilium (GO:0005929)",0.402478858539574,-0.237026177277086,"EVC;ARL2BP;TULP1;ADCY5"
"56","ribosome (GO:0005840)",0.377715140582718,-0.191405520392953,"MRPL40;RPL36;RPL29"
"57","endocytic vesicle membrane (GO:0030666)",0.354533555650682,-0.0872424191530065,"SLC11A1;SCARF1"
"58","integral component of endoplasmic reticulum membrane (GO:0030176)",0.354533555650682,-0.0739708791806551,"ANKLE2;UPK2"
"59","perinuclear region of cytoplasm (GO:0048471)",0.996071548265072,1.81716604565533,"DCTN3"
"60","synapse part (GO:0044456)",0.995115457571515,1.8265043984719,"CTTNBP2"
"61","lysosome (GO:0005764)",0.455632592868392,0.0537580793671795,"CTSA;SLC36A1;SLC11A1;RFFL"
"62","lytic vacuole (GO:0000323)",0.455632592868392,0.0731133447396586,"CTSA;SLC36A1;SLC11A1;RFFL"
"63","primary cilium (GO:0072372)",0.378330239963336,0.0885059617523293,"TULP1;ADCY5"
"64","mitochondrial matrix (GO:0005759)",0.938515898783716,1.89163565349634,"SOD1"
"65","extracellular region (GO:0005576)",0.533297598116332,0.202585268055216,"SERPINA3;COL15A1;WNT10A;CCL11;COL14A1;TGFB3;IFNB1;AFM;IL18;TULP1;REG3G;KLK9;PRLR;CXCL2;SOD1;C6ORF1;TG;CNPY4;CD27;ITGBL1;REN"
"66","membrane raft (GO:0045121)",0.931516592712204,1.92268609756795,"TGFBR2"
"67","microtubule organizing center (GO:0005815)",0.499829232330745,0.21908140093845,"SMAD4;EVC;ARL2BP;KIF2A;DCTN3;HSCB"
"68","Golgi membrane (GO:0000139)",0.917211918434617,1.75980086059203,"RFFL;WLS"
"69","ubiquitin ligase complex (GO:0000151)",0.913896653145823,1.90049435914198,"LMO7"
"70","integral component of plasma membrane (GO:0005887)",0.904127948212042,1.75567825375146,"GUCY2D;TG;UPK2;SLC11A1;CD27;LPPR4;CCR6;PCDH1;ACVR2A;PCDHAC2"
"71","cell projection membrane (GO:0031253)",0.482544309701585,0.266399002675124,"TMEM27;GUCY2D;FAP"
"72","cytoplasmic ribonucleoprotein granule (GO:0036464)",0.43383105723284,0.242807333457069,"APOBEC3F;TDRD6"
"73","centrosome (GO:0005813)",0.52047309590243,0.318896029645023,"SMAD4;ARL2BP;KIF2A;DCTN3;HSCB"
"74","mitochondrial membrane part (GO:0044455)",0.8932108346809,1.91623879457629,"ATP5J2"
"75","receptor complex (GO:0043235)",0.878131069629839,1.68766831670782,"RFFL;TGFBR2"
"76","contractile fiber part (GO:0044449)",0.8932108346809,1.94765207424388,"BAG3"
"77","ribonucleoprotein granule (GO:0035770)",0.43383105723284,0.264132980983225,"APOBEC3F;TDRD6"
"78","mitochondrial membrane (GO:0031966)",0.858458350995239,1.59473057548727,"CYB5R3;ROMO1;COX6C;ATP5J2"
"79","apical plasma membrane (GO:0016324)",0.499241959970244,0.382283482524789,"UPK2;SHROOM2;LMO7"
"80","synapse (GO:0045202)",0.834989669118069,1.66482475784934,"TG;TULP1"
"81","endoplasmic reticulum membrane (GO:0005789)",0.548895435897038,0.515315342334625,"ANKLE2;CYB5R3;SMPD4;TMEM38A;EXTL3;FADS1"
"82","vacuole (GO:0005773)",0.545674765512498,0.522883680712505,"CTSA;SLC36A1;SLC11A1;RFFL"
"83","early endosome (GO:0005769)",0.848534238133078,1.94612813718439,"KIF16B"
"84","Golgi apparatus (GO:0005794)",0.814125649146977,1.57740049336386,"SMPD4;FGD6;RGS19;PLEKHA3;SEC22B;POMGNT1;FTCD;WLS;TMEM165"
"85","microtubule cytoskeleton (GO:0015630)",0.473675303135896,0.452370690064893,"TBCB;GAPDH"
"86","N-terminal protein acetyltransferase complex (GO:0031414)",0.101229283030533,0.15831200343186,"NAA10"
"87","cell body (GO:0044297)",0.790508429633253,1.54449183494798,"TGFB3;SHROOM2;SOD1"
"88","cytoplasmic membrane-bounded vesicle (GO:0016023)",0.783775999085169,1.50741785752133,"YIPF1;SNX2;APH1B;RGS19;CTTNBP2"
"89","chromosomal region (GO:0098687)",0.490836097061187,0.529786780370224,"SUV39H1;DNMT3B"
"90","ciliary part (GO:0044441)",0.569253252467635,0.688539480389239,"EVC;GUCY2D;ATG7"
"91","organelle outer membrane (GO:0031968)",0.520008167349859,0.604075671065182,"CYB5R3;GUCY2D"
"92","cytoplasmic vesicle membrane (GO:0030659)",0.58727862675366,0.749928361386732,"APPBP2;SLC11A1;SCARF1"
"93","plasma membrane region (GO:0098590)",0.602939835994352,0.795202560905806,"GUCY2D;UPK2;SHROOM2;LMO7;TGFBR2"
"94","integral component of organelle membrane (GO:0031301)",0.771855447002354,1.56662448897144,"ANKLE2;UPK2"
"95","nuclear body (GO:0016604)",0.769580013000878,1.5514715230707,"CDKN2A;WBP11"
"96","nuclear chromosome part (GO:0044454)",0.632237144211991,0.890568048653992,"SMAD4;SETD3;UHRF1;DNMT3B"
"97","nucleoplasm (GO:0005654)",0.74209485784347,1.36961053028849,"RFC5;FANCI;PSMA5;ZBTB17;NR4A1;GCKR;SMAD4;CDKN2A;NR1H2;HNRNPA2B1;MSL3;SNRPB2"
"98","organelle inner membrane (GO:0019866)",0.705463357829101,1.19149817918173,"CYB5R3;ROMO1;COX6C;ATP5J2"
"99","extracellular vesicular exosome (GO:0070062)",0.731950791571746,1.34218177334121,"CPNE9;SERPINA3;COL15A1;UPK2;COL14A1;AFM;DNHD1;LRRC16A;THSD4;FTCD;LDHB;TMEM27;UBL3;SNX2;CYB5R3;TFG;CSRP1;TMEM38A;PI3;CTSA;RPS5;SHROOM2;IL18;SOD1;ATP5J2;UEVLD;PSMA5;SLC7A5;EML5;ITCH;MTAP;CD27;GAPDH"
"100","vacuolar part (GO:0044437)",0.731253217077954,1.34604535079455,"CTSA;SLC36A1;TMEM165"
"101","vacuolar membrane (GO:0005774)",0.764970033494959,1.57987578590641,"SLC36A1;TMEM165"
"102","cell surface (GO:0009986)",0.690423943435721,1.16618025980746,"TG;FAP;TGFB3;PRLR;ACVR2A"
"103","proteinaceous extracellular matrix (GO:0005578)",0.616233047312441,0.898163763077273,"WNT10A;COL14A1;PI3"
"104","cytoplasmic vesicle part (GO:0044433)",0.711568078123273,1.28137408919914,"APPBP2;TGFB3;SLC11A1;SCARF1"
"105","mitochondrial inner membrane (GO:0005743)",0.664655087315916,1.07059972790071,"CYB5R3;ROMO1;COX6C;ATP5J2"
"106","neuronal cell body (GO:0043025)",0.697040381797354,1.24095058545981,"TGFB3;SHROOM2;SOD1"
"107","trans-Golgi network (GO:0005802)",0.799198979771217,2.00618195686451,"SMPD4"
"108","cell-cell junction (GO:0005911)",0.651002837813727,1.05058061748178,"SHROOM2;LMO7;PCDH1;MLLT4"
"109","vesicle membrane (GO:0012506)",0.643791932610048,1.04091211165551,"APPBP2;SLC11A1;SCARF1"
"110","mitochondrial outer membrane (GO:0005741)",0.793737078489148,2.00387406324475,"CYB5R3"
"111","lysosomal membrane (GO:0005765)",0.735607295103146,1.51516273633053,"SLC36A1;TMEM165"
"112","blood microparticle (GO:0072562)",0.631921363019725,1.02524337892925,"SERPINA3;AFM"
"113","anchored component of membrane (GO:0031225)",0.593399517393816,0.99543302754256,"SEMA7A;MDGA1"
"114","endoplasmic reticulum lumen (GO:0005788)",0.607745239696266,1.04549416737236,"COL15A1;COL14A1"
"115","occluding junction (GO:0070160)",0.764126193806294,1.949463041221,"SHROOM2"
"116","tight junction (GO:0005923)",0.764126193806294,1.97219879008308,"SHROOM2"
"117","late endosome (GO:0005770)",0.760941633040374,1.94626260783915,"SLC11A1"
"118","chromosome (GO:0005694)",0.648470375440083,1.2588245772416,"SUV39H1;BAHD1"
"119","cell cortex part (GO:0044448)",0.754443445556843,1.94584201181956,"SHROOM2"
"120","leading edge membrane (GO:0031256)",0.719216380931426,1.96116611691627,"FAP"
"121","midbody (GO:0030496)",0.711588693890415,2.0089436269612,"ARL2BP"
"122","Z disc (GO:0030018)",0.687444777410002,1.92053877388493,"BAG3"
"123","synaptic vesicle (GO:0008021)",0.683229441569938,1.94978804146524,"CTTNBP2"
"124","nuclear speck (GO:0016607)",0.674628111383135,1.94494415231434,"WBP11"
"125","cell cortex (GO:0005938)",0.670240591011477,1.91752515627886,"SHROOM2"
"126","cytoplasmic membrane-bounded vesicle lumen (GO:0060205)",0.637832779117309,1.84964346027078,"TGFB3"
"127","vesicle lumen (GO:0031983)",0.637832779117309,1.87439881622649,"TGFB3"
"128","protein kinase complex (GO:1902911)",0.652093191608478,1.97816548393948,"TGFBR2"
"129","histone acetyltransferase complex (GO:0000123)",0.64740298942914,1.94967388790952,"MSL3"
"130","coated vesicle (GO:0030135)",0.632951074485475,1.85542978222089,"RGS19"
"131","basement membrane (GO:0005604)",0.642649799490914,1.93867346020967,"TINAG"
"132","npBAF complex (GO:0071564)",0.136499799000891,0.458102487319754,"SMARCD1"
"133","ciliary basal body (GO:0036064)",0.612759933700545,1.87480873771613,"EVC"
"134","vacuolar lumen (GO:0005775)",0.607541595639165,1.87859849410385,"CTSA"
"135","nonmotile primary cilium (GO:0031513)",0.591462510393287,1.81623425191447,"TULP1"
"136","SWI/SNF superfamily-type complex (GO:0070603)",0.585958293853951,1.79435727048509,"SMARCD1"
"137","ruffle (GO:0001726)",0.596893827051759,1.87015303635259,"FGD6"
"138","apical junction complex (GO:0043296)",0.136499799000891,0.484816987206919,"SHROOM2"
"139","lysosomal lumen (GO:0043202)",0.591462510393287,1.87916570859846,"CTSA"
"140","secretory granule lumen (GO:0034774)",0.563192738936087,1.85305859996647,"TGFB3"
"141","small ribosomal subunit (GO:0015935)",0.563192738936087,1.85489820155762,"RPS5"
"142","spindle pole (GO:0000922)",0.568998432809176,1.89008956557952,"KIF2A"
"143","caveola (GO:0005901)",0.539180430157385,1.74416899049834,"TGFBR2"
"144","clathrin-coated vesicle (GO:0030136)",0.532974657920501,1.74187823259965,"RGS19"
"145","plasma membrane raft (GO:0044853)",0.539180430157385,1.77506226046369,"TGFBR2"
"146","nuclear chromosome (GO:0000228)",0.532974657920501,1.75484620886299,"SUV39H1"
"147","basement membrane collagen trimer (GO:0098651)",0.101229283030533,0.484567189429449,"COL15A1"
"148","intrinsic component of membrane (GO:0031224)",0.545304047931919,1.84707864290864,"EXTL3"
"149","serine/threonine protein kinase complex (GO:1902554)",0.526685633272458,1.75645789642132,"TGFBR2"
"150","secretory granule membrane (GO:0030667)",0.513853361718921,1.70081579816655,"SLC11A1"
"151","RNA polymerase II transcription factor complex (GO:0090575)",0.539180430157385,1.84888301184296,"SMAD4"
"152","cytoplasmic microtubule (GO:0005881)",0.539180430157385,1.8721799482,"KLK9"
"153","condensed chromosome (GO:0000793)",0.47323968126486,1.65118701683682,"SUV39H1"
"154","dynactin complex (GO:0005869)",0.124898909101569,0.594625192531264,"DCTN3"
"155","cortical cytoskeleton (GO:0030863)",0.48713983343384,1.72504029432942,"SHROOM2"
"156","chromatoid body (GO:0033391)",0.14794747288725,0.655316938582339,"TDRD6"
"157","proteasome core complex, alpha-subunit complex (GO:0019773)",0.101229283030533,0.555516540639714,"PSMA5"
"158","ruffle membrane (GO:0032587)",0.480236046786895,1.77963894288312,"FAP"
"159","axoneme (GO:0005930)",0.47323968126486,1.78421682838971,"ATG7"
"160","cytoplasmic mRNA processing body (GO:0000932)",0.48713983343384,1.85805619318888,"APOBEC3F"
"161","platelet alpha granule lumen (GO:0031093)",0.47323968126486,1.78774112098506,"TGFB3"
"162","intrinsic component of endoplasmic reticulum membrane (GO:0031227)",0.113142760414231,0.626666144526333,"EXTL3"
"163","brush border membrane (GO:0031526)",0.451682662169363,1.72292736619794,"TMEM27"
"164","endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)",0.466149500238078,1.81296551652188,"SEC22B"
"165","dendrite cytoplasm (GO:0032839)",0.159243946757911,0.753870718882049,"SOD1"
"166","peroxisomal membrane (GO:0005778)",0.429246912875223,1.70527349518233,"PEX1"
"167","endosome lumen (GO:0031904)",0.14794747288725,0.757932258905314,"PRLR"
"168","spindle microtubule (GO:0005876)",0.444303448622012,1.790811067252,"KIF2A"
"169","microbody membrane (GO:0031903)",0.429246912875223,1.74174060183984,"PEX1"
"170","ciliary membrane (GO:0060170)",0.436825305894506,1.78613815471461,"GUCY2D"
"171","trans-Golgi network membrane (GO:0032588)",0.429246912875223,1.78096261426161,"TMEM165"
"172","nBAF complex (GO:0071565)",0.14794747288725,0.817267012082186,"SMARCD1"
"173","small nuclear ribonucleoprotein complex (GO:0030532)",0.405896754818594,1.73685795549946,"SNRPB2"
"174","proton-transporting two-sector ATPase complex (GO:0016469)",0.3732764214266,1.6088045295031,"ATP5J2"
"175","intercellular bridge (GO:0045171)",0.3732764214266,1.6153466609568,"RFXANK"
"176","sarcoplasmic reticulum (GO:0016529)",0.413784002937575,1.81789887036499,"SRL"
"177","dynein complex (GO:0030286)",0.405896754818594,1.78039592071034,"DNHD1"
"178","cytosolic small ribosomal subunit (GO:0022627)",0.405896754818594,1.78750232521627,"RPS5"
"179","anchored component of plasma membrane (GO:0046658)",0.413784002937575,1.83062399062316,"MDGA1"
"180","microfibril (GO:0001527)",0.113142760414231,0.749422477889281,"THSD4"
"181","phagocytic vesicle membrane (GO:0030670)",0.283706797769115,1.30277546188144,"SLC11A1"
"182","proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)",0.264317746066153,1.24464880931092,"ATP5J2"
"183","peroxisomal matrix (GO:0005782)",0.3732764214266,1.68961816514447,"CROT"
"184","cell projection cytoplasm (GO:0032838)",0.159243946757911,0.913302119137348,"SOD1"
"185","photoreceptor outer segment (GO:0001750)",0.364846303738433,1.66647859939569,"TULP1"
"186","nucleolar part (GO:0044452)",0.405896754818594,1.86412591108807,"CIRH1A"
"187","T-tubule (GO:0030315)",0.381595066460971,1.79837630341472,"TGFB3"
"188","microbody lumen (GO:0031907)",0.3732764214266,1.77455373073685,"CROT"
"189","replication fork (GO:0005657)",0.293209561163688,1.43189143587904,"UHRF1"
"190","mitochondrial proton-transporting ATP synthase complex (GO:0005753)",0.244405893733689,1.2906649735609,"ATP5J2"
"191","heterotrimeric G-protein complex (GO:0005834)",0.3732764214266,1.85124223417299,"RGS19"
"192","condensed nuclear chromosome (GO:0000794)",0.302586724792678,1.52776169106051,"SUV39H1"
"193","euchromatin (GO:0000791)",0.302586724792678,1.53851129948554,"UHRF1"
"194","cortical actin cytoskeleton (GO:0030864)",0.274076758787661,1.42169476509153,"SHROOM2"
"195","basal part of cell (GO:0045178)",0.14794747288725,0.966050194279825,"FAP"
"196","nuclear outer membrane (GO:0005640)",0.159243946757911,1.01340665720265,"GUCY2D"
"197","sarcoplasmic reticulum membrane (GO:0033017)",0.264317746066153,1.4064183047805,"TMEM38A"
"198","proton-transporting ATP synthase complex (GO:0045259)",0.244405893733689,1.3671945335518,"ATP5J2"
"199","late endosome membrane (GO:0031902)",0.320970846555357,1.70096677973402,"SLC11A1"
"200","organellar ribosome (GO:0000313)",0.274076758787661,1.4943438134885,"MRPL40"
"201","photoreceptor inner segment (GO:0001917)",0.293209561163688,1.5942561433674,"TULP1"
"202","proteasome core complex (GO:0005839)",0.234249543830794,1.36598785650993,"PSMA5"
"203","mitochondrial ribosome (GO:0005761)",0.274076758787661,1.54595403341967,"MRPL40"
"204","BAF-type complex (GO:0090544)",0.213527045207508,1.29640005854734,"SMARCD1"
"205","brush border (GO:0005903)",0.274076758787661,1.58641984652231,"RGS19"
"206","polysome (GO:0005844)",0.302586724792678,1.72182411305981,"MSI2"
"207","hemoglobin complex (GO:0005833)",0.14794747288725,1.09233563823045,"CYB5R3"
"208","P granule (GO:0043186)",0.170391210185976,1.25617955144695,"TDRD6"
"209","intrinsic component of organelle membrane (GO:0031300)",0.213527045207508,1.54997748470307,"EXTL3"
"210","photoreceptor disc membrane (GO:0097381)",0.181391226665676,1.46216563134964,"GUCY2D"
"211","proton-transporting ATP synthase complex, coupling factor F(o) (GO:0045263)",0.159243946757911,1.3640153694667,"ATP5J2"
"212","SWI/SNF complex (GO:0016514)",0.181391226665676,1.47440933248089,"SMARCD1"
"213","interstitial matrix (GO:0005614)",0.181391226665676,1.48863812622637,"COL14A1"
"214","fibril (GO:0043205)",0.159243946757911,1.44759643761965,"THSD4"
"215","pre-autophagosomal structure (GO:0000407)",0.159243946757911,1.65764885404288,"ATG7"
"216","positive regulation of cell cycle arrest (GO:0071158)",0.000135565350431233,-2.30890075052677,"PSMA5;CRADD;FAP;CDKN2A;PSME4;CASP2;CRLF3"
"217","regulation of cell cycle arrest (GO:0071156)",0.000499672513999517,-2.30302262378927,"PSMA5;CRADD;FAP;CDKN2A;PSME4;CASP2;CRLF3"
"218","regulation of execution phase of apoptosis (GO:1900117)",0.00190463084969461,-2.70138895894961,"FAP;CDKN2A;RFFL"
"219","gastrulation with mouth forming second (GO:0001702)",0.00256360711473853,-2.72034391827459,"ZBTB17;SMAD4;ACVR2A"
"220","embryo implantation (GO:0007566)",0.00172115197598467,-2.37601866087074,"RPL29;PRLR;TGFBR2;SOD1"
"221","gastrulation (GO:0007369)",0.00269762434211515,-2.4043217897936,"ZBTB17;SMAD4;ACVR2A;TGFBR2"
"222","regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)",0.00344573915500185,-2.34699287790602,"SOX2;NR4A1;CRADD;CDKN2A;IL24;CASP2;CD27;RFFL"
"223","positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)",0.00477314018482236,-2.45676501036121,"SMAD4;TGFB3;ACVR2A"
"224","positive regulation of tyrosine phosphorylation of Stat3 protein (GO:0042517)",0.00531779236793202,-2.50113659504033,"IL21;ARL2BP;IL24"
"225","positive regulation of epithelial to mesenchymal transition (GO:0010718)",0.00477314018482236,-2.44588894654078,"SMAD4;TGFB3;ZNF703"
"226","brain development (GO:0007420)",0.00355955394900136,-2.29172986936608,"C11ORF63;CTTNBP2;BAG3;COX17;SHROOM2;CASP2;MDGA1;TGFBR2"
"227","regulation of cytokine production involved in immune response (GO:0002718)",0.00399881374261964,-2.33020109841209,"IL21;SEMA7A;IFNB1;TGFB3"
"228","regulation of cysteine-type endopeptidase activity (GO:2000116)",0.00486489844990666,-2.32511395550683,"SOX2;NR4A1;CRADD;CDKN2A;IL24;CASP2;CD27;RFFL"
"229","response to interleukin-4 (GO:0070670)",0.00859019826143501,-2.53779460631562,"CCL11;IL24;KLK9"
"230","heterochromatin organization (GO:0070828)",0.00464605512424116,-2.24368643602183,"CDKN2A;BAHD1"
"231","regulation of lymphocyte differentiation (GO:0045619)",0.00621853673354291,-2.21631875559365,"IL21;CDKN2A;IFNB1;CD27;SOD1;TGFBR2"
"232","positive regulation of cell cycle process (GO:0090068)",0.00923918722438299,-2.39419556174021,"PSMA5;MTBP;FAP;CRADD;CDKN2A;PSME4;CASP2;CRLF3"
"233","regulation of macrophage cytokine production (GO:0010935)",0.0105753862823417,-2.46237860366656,"SEMA7A;TGFB3"
"234","positive regulation of SMAD protein import into nucleus (GO:0060391)",0.00889001011199736,-2.34288709359757,"SMAD4;TGFB3"
"235","positive regulation of JAK-STAT cascade (GO:0046427)",0.00645059975860512,-2.18920636831533,"IL21;ARL2BP;IL24;CRLF3"
"236","glycerophospholipid catabolic process (GO:0046475)",0.00464605512424116,-2.04694753423145,"SMPD4;INPP5F"
"237","positive regulation of cell cycle (GO:0045787)",0.012138958409479,-2.44904716642386,"PSMA5;MTBP;FAP;CRADD;CDKN2A;PSME4;SPDYA;CASP2;CRLF3"
"238","gland development (GO:0048732)",0.00923918722438299,-2.28850933143554,"SOX2;SMAD4;WNT10A;TG;TGFB3;ATG7;PITX1;SOD1"
"239","peptidyl-lysine dimethylation (GO:0018027)",0.00464605512424116,-1.9921358323669,"SETD3;SUV39H1"
"240","regulation of peptidase activity (GO:0052547)",0.0111254986144635,-2.37051192180781,"SOX2;NR4A1;SERPINA3;CRADD;CDKN2A;PSME4;IL24;CASP2;CD27;PI3;RFFL"
"241","regulation of tyrosine phosphorylation of Stat3 protein (GO:0042516)",0.00935809949189625,-2.27540587984944,"IL21;ARL2BP;IL24"
"242","tongue development (GO:0043586)",0.00733742219088078,-2.14909124260564,"SOX2;WNT10A"
"243","positive regulation of interleukin-17 production (GO:0032740)",0.00889001011199736,-2.20362978332897,"IL21;IL18"
